Player,Position,Team,Games Played,Shots,Goals,Total Shots,Shot Assists,Goal Assists,Primary Assists,Complete Passes,Incomplete Passes,Takeaways,Puck Recoveries,Zone Carries,Retained Dump Ins,Played Entries,Danger Passes,Danger Shots
Morgan Helgeson,F,Clarkson Golden Knights,2,3.0,2.0,5.0,3.0,0.0,3.0,24.0,4.0,0.0,16.0,3.0,0.0,1.0,1.0,3.0
Kristy Pidgeon,F,Clarkson Golden Knights,2,10.0,0.0,10.0,5.0,0.0,5.0,25.0,10.0,3.0,35.0,4.0,4.0,0.0,3.0,4.0
Charlea Pedersen,F,St. Lawrence Saints,2,1.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,4.0,17.0,2.0,1.0,0.0,2.0,0.0
Tia Stoddard,F,Clarkson Golden Knights,2,5.0,0.0,5.0,2.0,0.0,2.0,13.0,9.0,3.0,19.0,1.0,0.0,0.0,2.0,2.0
Jessica Poirier,F,St. Lawrence Saints,2,2.0,0.0,2.0,0.0,0.0,0.0,13.0,8.0,4.0,18.0,0.0,0.0,0.0,2.0,1.0
Natalie Wozney,F,St. Lawrence Saints,2,6.0,2.0,8.0,1.0,0.0,1.0,10.0,8.0,4.0,16.0,3.0,0.0,0.0,2.0,4.0
Stephanie Voge,F,St. Lawrence Saints,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Brittany Howard,F,Olympic (Women) - Canada,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rebecca Leslie,F,Olympic (Women) - Canada,3,3.0,0.0,3.0,0.0,0.0,0.0,20.0,14.0,5.0,22.0,3.0,0.0,0.0,2.0,3.0
Hayley Scamurra,F,Olympic (Women) - United States,5,11.0,0.0,11.0,2.0,0.0,2.0,39.0,7.0,7.0,44.0,4.0,0.0,1.0,5.0,7.0
Jamie Lee Rattray,F,Olympic (Women) - Canada,5,7.0,2.0,9.0,5.0,1.0,6.0,30.0,16.0,7.0,23.0,6.0,1.0,2.0,6.0,6.0
Dana Trivigno,F,Olympic (Women) - United States,3,4.0,0.0,4.0,1.0,0.0,1.0,12.0,6.0,2.0,10.0,1.0,0.0,0.0,1.0,1.0
Alex Carpenter,F,Olympic (Women) - United States,5,16.0,1.0,17.0,10.0,0.0,10.0,75.0,31.0,8.0,65.0,13.0,2.0,3.0,9.0,12.0
Zoe Hickel,F,Olympic (Women) - United States,3,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0
Ann-Sophie Bettez,F,Olympic (Women) - Canada,5,12.0,0.0,12.0,11.0,0.0,11.0,69.0,25.0,10.0,48.0,9.0,3.0,2.0,9.0,9.0
Victoria Bach,F,Olympic (Women) - Canada,3,6.0,0.0,6.0,2.0,0.0,2.0,10.0,16.0,9.0,21.0,9.0,0.0,2.0,5.0,2.0
Annie Pankowski,F,Olympic (Women) - United States,2,13.0,2.0,15.0,1.0,0.0,1.0,32.0,11.0,2.0,27.0,6.0,2.0,1.0,6.0,4.0
Jesse Compher,F,Olympic (Women) - United States,2,5.0,0.0,5.0,3.0,0.0,3.0,15.0,3.0,3.0,13.0,4.0,0.0,0.0,4.0,3.0
Melissa Samoskevich,F,Olympic (Women) - United States,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0
Sydney Brodt,F,Olympic (Women) - United States,2,6.0,0.0,6.0,2.0,0.0,2.0,8.0,0.0,3.0,10.0,5.0,0.0,0.0,0.0,3.0
Elisa Holopainen,F,Olympic (Women) - Finland,2,3.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0
Viivi Vainikka,F,Olympic (Women) - Finland,2,1.0,0.0,1.0,3.0,0.0,3.0,7.0,2.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0
Jillian Dempsey,F,Boston Pride,6,24.0,3.0,27.0,13.0,2.0,15.0,80.0,36.0,22.0,72.0,16.0,0.0,2.0,14.0,18.0
McKenna Brand,F,Boston Pride,7,55.0,3.0,58.0,28.0,3.0,31.0,142.0,34.0,7.0,111.0,41.0,6.0,1.0,23.0,23.0
Tereza Vanisova,F,Boston Pride,7,30.0,0.0,30.0,29.0,1.0,30.0,138.0,35.0,17.0,116.0,58.0,1.0,1.0,32.0,20.0
Samantha Davis,F,Boston Pride,7,34.0,4.0,38.0,30.0,0.0,30.0,119.0,48.0,18.0,111.0,41.0,7.0,2.0,26.0,27.0
Stephanie Anderson,F,Minnesota Whitecaps,4,18.0,0.0,18.0,13.0,0.0,13.0,69.0,30.0,19.0,60.0,13.0,2.0,1.0,13.0,13.0
Meghan Lorence,F,Minnesota Whitecaps,4,21.0,0.0,21.0,15.0,1.0,16.0,73.0,29.0,11.0,53.0,17.0,2.0,2.0,16.0,13.0
Taylor Wenczkowski,F,Boston Pride,7,36.0,1.0,37.0,8.0,0.0,8.0,92.0,31.0,9.0,90.0,16.0,5.0,0.0,9.0,21.0
Allie Thunstrom,F,Minnesota Whitecaps,4,28.0,0.0,28.0,8.0,0.0,8.0,45.0,24.0,14.0,57.0,27.0,2.0,1.0,12.0,15.0
Nina Rodgers,F,Minnesota Whitecaps,4,17.0,2.0,19.0,8.0,1.0,9.0,49.0,17.0,13.0,48.0,7.0,0.0,1.0,8.0,9.0
Christina Putigna,F,Boston Pride,7,37.0,2.0,39.0,14.0,2.0,16.0,98.0,47.0,14.0,102.0,26.0,4.0,3.0,33.0,16.0
Haylea Schmid,F,Minnesota Whitecaps,3,9.0,1.0,10.0,4.0,0.0,4.0,25.0,15.0,10.0,27.0,6.0,0.0,2.0,5.0,6.0
Lexie Laing,F,Boston Pride,7,23.0,1.0,24.0,8.0,1.0,9.0,75.0,46.0,17.0,74.0,14.0,3.0,3.0,21.0,16.0
Mary Parker,F,Boston Pride,4,10.0,0.0,10.0,7.0,0.0,7.0,34.0,14.0,6.0,37.0,11.0,3.0,0.0,9.0,3.0
Tori Sullivan,F,Boston Pride,7,13.0,0.0,13.0,17.0,0.0,17.0,86.0,16.0,14.0,58.0,14.0,0.0,1.0,9.0,10.0
Carlee Turner,F,Boston Pride,7,23.0,0.0,23.0,8.0,0.0,8.0,57.0,22.0,14.0,63.0,18.0,2.0,0.0,12.0,9.0
Meaghan Rickard,F,Boston Pride,7,18.0,2.0,20.0,4.0,0.0,4.0,29.0,21.0,12.0,48.0,17.0,1.0,1.0,6.0,15.0
Meghara McManus,F,Boston Pride,7,24.0,1.0,25.0,6.0,0.0,6.0,31.0,28.0,17.0,51.0,28.0,5.0,1.0,17.0,18.0
Haley Mack,F,Minnesota Whitecaps,4,13.0,2.0,15.0,24.0,1.0,25.0,62.0,28.0,4.0,59.0,26.0,0.0,2.0,19.0,9.0
Jonna Curtis,F,Minnesota Whitecaps,4,20.0,1.0,21.0,11.0,0.0,11.0,57.0,37.0,10.0,72.0,26.0,4.0,1.0,21.0,10.0
Audra Richards,F,Minnesota Whitecaps,4,14.0,2.0,16.0,4.0,0.0,4.0,27.0,26.0,5.0,51.0,9.0,5.0,0.0,9.0,10.0
Meaghan Pezon,F,Minnesota Whitecaps,4,8.0,1.0,9.0,6.0,0.0,6.0,58.0,18.0,9.0,44.0,6.0,0.0,0.0,3.0,5.0
Brooke White,F,Minnesota Whitecaps,4,0.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,2.0,9.0,3.0,1.0,0.0,1.0,0.0
Kayla Friesen,F,Connecticut Whale,3,23.0,1.0,24.0,7.0,0.0,7.0,36.0,29.0,11.0,60.0,10.0,1.0,1.0,14.0,8.0
Nicole Guagliardo,F,Connecticut Whale,2,7.0,0.0,7.0,3.0,0.0,3.0,22.0,13.0,2.0,24.0,6.0,0.0,1.0,6.0,3.0
Erin Gehen,F,Buffalo Beauts,6,18.0,0.0,18.0,15.0,0.0,15.0,67.0,44.0,14.0,83.0,20.0,3.0,2.0,12.0,8.0
Jordan Juron,F,Buffalo Beauts,6,29.0,1.0,30.0,12.0,0.0,12.0,76.0,42.0,21.0,95.0,23.0,1.0,2.0,12.0,15.0
Janine Weber,F,Connecticut Whale,4,29.0,0.0,29.0,7.0,0.0,7.0,48.0,25.0,8.0,56.0,12.0,2.0,2.0,10.0,19.0
Emma Vlasic,F,Connecticut Whale,4,15.0,1.0,16.0,10.0,2.0,12.0,58.0,22.0,12.0,62.0,8.0,2.0,0.0,5.0,12.0
Katelynn Russ,F,Connecticut Whale,4,26.0,2.0,28.0,6.0,0.0,6.0,40.0,30.0,11.0,56.0,13.0,2.0,0.0,14.0,13.0
Alyssa Wohlfeiler,F,Connecticut Whale,4,24.0,1.0,25.0,15.0,2.0,17.0,87.0,27.0,8.0,52.0,24.0,1.0,0.0,10.0,18.0
Autumn MacDougall,F,Buffalo Beauts,6,18.0,3.0,21.0,7.0,0.0,7.0,71.0,48.0,7.0,77.0,17.0,6.0,3.0,20.0,12.0
Brooke Stacey,F,Buffalo Beauts,6,24.0,0.0,24.0,7.0,0.0,7.0,58.0,35.0,7.0,55.0,19.0,2.0,2.0,8.0,14.0
Kayla Meneghin,F,Buffalo Beauts,3,2.0,0.0,2.0,3.0,0.0,3.0,12.0,17.0,2.0,17.0,9.0,1.0,0.0,7.0,1.0
Hunter Accursi,F,Buffalo Beauts,6,7.0,0.0,7.0,1.0,0.0,1.0,19.0,14.0,3.0,34.0,6.0,0.0,0.0,4.0,4.0
Grace Klienbach,F,Connecticut Whale,4,8.0,0.0,8.0,3.0,0.0,3.0,22.0,12.0,4.0,26.0,4.0,1.0,0.0,2.0,5.0
Sarah Schwenzfeier,F,Connecticut Whale,4,12.0,0.0,12.0,1.0,0.0,1.0,23.0,23.0,11.0,48.0,11.0,2.0,0.0,5.0,5.0
Kaycie Anderson,F,Connecticut Whale,4,14.0,1.0,15.0,4.0,0.0,4.0,18.0,21.0,3.0,38.0,8.0,0.0,0.0,5.0,10.0
Maddie Bishop,F,Connecticut Whale,4,4.0,0.0,4.0,3.0,0.0,3.0,13.0,11.0,5.0,15.0,5.0,0.0,0.0,2.0,0.0
Amanda Conway,F,Connecticut Whale,4,10.0,1.0,11.0,4.0,0.0,4.0,18.0,17.0,3.0,24.0,8.0,0.0,0.0,3.0,7.0
Iveta Klimasova,F,Buffalo Beauts,6,12.0,0.0,12.0,6.0,0.0,6.0,29.0,29.0,5.0,49.0,9.0,2.0,0.0,6.0,5.0
Mackenzie Lancaster,F,Connecticut Whale,3,11.0,0.0,11.0,5.0,0.0,5.0,40.0,16.0,3.0,38.0,13.0,1.0,2.0,5.0,7.0
Neve Van Pelt,F,Buffalo Beauts,5,6.0,0.0,6.0,4.0,0.0,4.0,21.0,19.0,9.0,38.0,5.0,0.0,0.0,4.0,2.0
Kristin Lewicki,F,Buffalo Beauts,6,21.0,2.0,23.0,16.0,1.0,17.0,82.0,39.0,17.0,84.0,24.0,2.0,1.0,17.0,21.0
Cassidy MacPherson,F,Buffalo Beauts,6,19.0,0.0,19.0,14.0,0.0,14.0,83.0,40.0,20.0,92.0,25.0,2.0,0.0,19.0,8.0
Shiann Darkangelo,F,Toronto Six,6,36.0,0.0,36.0,22.0,3.0,25.0,154.0,63.0,23.0,141.0,24.0,4.0,4.0,37.0,18.0
Madison Packer,F,Metropolitan Riveters,3,15.0,0.0,15.0,10.0,0.0,10.0,74.0,24.0,15.0,56.0,13.0,1.0,2.0,14.0,10.0
Emma Woods,F,Toronto Six,4,28.0,0.0,28.0,11.0,0.0,11.0,99.0,26.0,12.0,54.0,16.0,3.0,2.0,19.0,6.0
Emily Janiga,F,Metropolitan Riveters,3,8.0,1.0,9.0,3.0,0.0,3.0,30.0,19.0,13.0,36.0,11.0,0.0,1.0,5.0,4.0
Kelly Babstock,F,Metropolitan Riveters,3,14.0,0.0,14.0,6.0,2.0,8.0,34.0,16.0,9.0,35.0,17.0,1.0,0.0,11.0,10.0
Jayne Lewis,F,Metropolitan Riveters,3,3.0,0.0,3.0,0.0,0.0,0.0,10.0,11.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0
Breanne Wilson-Bennett,F,Toronto Six,6,31.0,2.0,33.0,22.0,0.0,22.0,95.0,35.0,25.0,107.0,22.0,0.0,3.0,20.0,22.0
Kendall Cornine,F,Metropolitan Riveters,3,11.0,0.0,11.0,8.0,0.0,8.0,31.0,15.0,5.0,46.0,11.0,4.0,0.0,6.0,6.0
Paige Voight,F,Metropolitan Riveters,3,5.0,0.0,5.0,1.0,0.0,1.0,29.0,21.0,8.0,36.0,6.0,0.0,0.0,5.0,4.0
Natalie Marcuzzi,F,Toronto Six,6,31.0,0.0,31.0,9.0,0.0,9.0,65.0,37.0,23.0,90.0,18.0,5.0,2.0,11.0,15.0
Taylor Woods,F,Toronto Six,6,42.0,4.0,46.0,13.0,0.0,13.0,157.0,46.0,14.0,175.0,16.0,2.0,2.0,11.0,11.0
Mallory Rushton,F,Metropolitan Riveters,3,10.0,1.0,11.0,5.0,0.0,5.0,33.0,18.0,3.0,30.0,8.0,2.0,0.0,4.0,8.0
Theresa Knutson,F,Metropolitan Riveters,3,16.0,1.0,17.0,7.0,0.0,7.0,36.0,10.0,5.0,32.0,11.0,1.0,1.0,11.0,8.0
Taytum Clairmont,F,Toronto Six,6,13.0,1.0,14.0,13.0,1.0,14.0,82.0,27.0,11.0,67.0,16.0,4.0,2.0,13.0,10.0
Julie Allen,F,Toronto Six,6,3.0,0.0,3.0,2.0,0.0,2.0,32.0,20.0,10.0,32.0,2.0,1.0,2.0,8.0,2.0
Rebecca Russo,F,Metropolitan Riveters,3,7.0,1.0,8.0,4.0,0.0,4.0,41.0,18.0,5.0,45.0,4.0,2.0,0.0,6.0,6.0
Kate Leary,F,Metropolitan Riveters,3,10.0,0.0,10.0,14.0,0.0,14.0,54.0,13.0,5.0,51.0,17.0,2.0,0.0,14.0,5.0
Emily Fluke,F,Toronto Six,6,11.0,1.0,12.0,5.0,1.0,6.0,34.0,17.0,8.0,44.0,8.0,1.0,0.0,7.0,6.0
Mikyla Grant-Mentis,F,Toronto Six,6,49.0,5.0,54.0,26.0,1.0,27.0,104.0,44.0,19.0,102.0,46.0,3.0,2.0,26.0,20.0
Sarah-Eve Coutu Godbout,F,Toronto Six,6,42.0,1.0,43.0,12.0,0.0,12.0,56.0,38.0,13.0,70.0,22.0,5.0,1.0,17.0,20.0
Amy Curlew,F,Toronto Six,6,9.0,1.0,10.0,3.0,1.0,4.0,39.0,9.0,4.0,32.0,9.0,2.0,0.0,10.0,9.0
Brooke Avery,F,Metropolitan Riveters,3,0.0,0.0,0.0,2.0,0.0,2.0,22.0,6.0,2.0,14.0,1.0,1.0,1.0,0.0,0.0
Mackenzie MacNeil,F,Toronto Six,6,26.0,2.0,28.0,7.0,0.0,7.0,47.0,32.0,15.0,78.0,29.0,5.0,1.0,24.0,12.0
Brooke Boquist,F,Toronto Six,4,27.0,2.0,29.0,11.0,1.0,12.0,71.0,31.0,3.0,48.0,11.0,3.0,0.0,19.0,14.0
Cailey Hutchison,F,Metropolitan Riveters,3,4.0,1.0,5.0,2.0,0.0,2.0,15.0,13.0,8.0,21.0,1.0,1.0,1.0,1.0,1.0
Taylor Wasylk,F,Buffalo Beauts,4,15.0,0.0,15.0,2.0,0.0,2.0,28.0,19.0,5.0,41.0,9.0,1.0,0.0,9.0,4.0
Maeve Reilly,F,Connecticut Whale,1,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0
Sarah Hughson,F,Connecticut Whale,1,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0
